tract,NAME,pop19,white19,income19,rent19,bachplus19,state,county,GEOID
981501,"Census Tract 9815.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025981501
981502,"Census Tract 9815.02, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025981502
020200,"Census Tract 202, Suffolk County, Massachusetts",3584,3371,94172,2070,0.8834415584415585,25,025,25025020200
030300,"Census Tract 303, Suffolk County, Massachusetts",5524,5284,143153,2823,0.7147199305254016,25,025,25025030300
061000,"Census Tract 610, Suffolk County, Massachusetts",3158,2252,38056,540,0.36995827538247567,25,025,25025061000
061200,"Census Tract 612, Suffolk County, Massachusetts",4584,4325,153869,2465,0.8134715025906736,25,025,25025061200
090100,"Census Tract 901, Suffolk County, Massachusetts",5026,3264,34195,973,0.1534959349593496,25,025,25025090100
090200,"Census Tract 902, Suffolk County, Massachusetts",2348,1510,26755,966,0.15761689291101055,25,025,25025090200
090700,"Census Tract 907, Suffolk County, Massachusetts",3878,3482,70346,1537,0.5009334163036714,25,025,25025090700
091200,"Census Tract 912, Suffolk County, Massachusetts",3375,2783,87292,1339,0.40683111954459206,25,025,25025091200
100300,"Census Tract 1003, Suffolk County, Massachusetts",4394,4042,51645,1779,0.16875671802221426,25,025,25025100300
101101,"Census Tract 1011.01, Suffolk County, Massachusetts",3592,3060,50625,1737,0.21506276150627615,25,025,25025101101
130300,"Census Tract 1303, Suffolk County, Massachusetts",4456,4172,123241,1723,0.6469350961538461,25,025,25025130300
140102,"Census Tract 1401.02, Suffolk County, Massachusetts",5779,4766,98750,1404,0.367827868852459,25,025,25025140102
140300,"Census Tract 1403, Suffolk County, Massachusetts",7750,5445,62056,1440,0.22581276929103017,25,025,25025140300
180400,"Census Tract 1804, Suffolk County, Massachusetts",2001,1581,83333,1567,0.41445126107702795,25,025,25025180400
981600,"Census Tract 9816, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025981600
981700,"Census Tract 9817, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025981700
981800,"Census Tract 9818, Suffolk County, Massachusetts",32,32,-666666666,-666666666,0.8846153846153846,25,025,25025981800
990101,"Census Tract 9901.01, Suffolk County, Massachusetts",67,0,-666666666,-666666666,0.0,25,025,25025990101
000703,"Census Tract 7.03, Suffolk County, Massachusetts",2020,1755,43163,1773,0.8301544050862852,25,025,25025000703
