GEOID,income,rent,pct_white,high_ed,gent_index
250250922001,5.0,2.0,5.0,2.0,14.0
250250922002,3.0,3.0,2.0,2.0,10.0
250250922003,3.0,1.0,2.0,4.0,10.0
250250922004,1.0,5.0,5.0,3.0,14.0
250250923001,5.0,5.0,1.0,2.0,13.0
250250923002,1.0,4.0,1.0,4.0,10.0
250250923003,4.0,2.0,2.0,5.0,13.0
250250923004,4.0,1.0,1.0,4.0,10.0
250250924001,4.0,5.0,1.0,1.0,11.0
250250924002,1.0,5.0,1.0,5.0,12.0
250250924003,2.0,1.0,2.0,1.0,6.0
250250924004,1.0,2.0,4.0,5.0,12.0
250250924005,,4.0,1.0,5.0,
250251001001,,1.0,2.0,1.0,
250251001002,1.0,5.0,5.0,5.0,16.0
250251001003,1.0,1.0,3.0,3.0,8.0
250251001004,3.0,3.0,1.0,5.0,12.0
250251001005,,5.0,4.0,5.0,
250251001006,3.0,5.0,2.0,5.0,15.0
250251001007,,,2.0,5.0,
250251002001,4.0,4.0,3.0,1.0,12.0
250251002002,1.0,2.0,1.0,4.0,8.0
250251002003,3.0,5.0,4.0,5.0,17.0
250251003001,3.0,5.0,2.0,5.0,15.0
250251003002,3.0,1.0,2.0,1.0,7.0
250251003003,5.0,5.0,5.0,5.0,20.0
250251003004,1.0,5.0,5.0,1.0,12.0
250251004001,,5.0,2.0,3.0,
250251004002,,5.0,1.0,4.0,
250251004003,4.0,4.0,1.0,1.0,10.0
250251004004,2.0,1.0,2.0,5.0,10.0
250251005001,,,2.0,5.0,
250251005002,4.0,5.0,1.0,1.0,11.0
250251005003,,3.0,2.0,4.0,
250251005004,5.0,1.0,4.0,5.0,15.0
250251005005,1.0,5.0,5.0,5.0,16.0
250251006011,2.0,3.0,2.0,4.0,11.0
250251006012,2.0,5.0,3.0,5.0,15.0
250251006013,3.0,5.0,5.0,5.0,18.0
250251006014,5.0,2.0,2.0,4.0,13.0
250251006031,2.0,4.0,4.0,3.0,13.0
250251006032,5.0,2.0,2.0,5.0,14.0
250251007001,4.0,1.0,3.0,4.0,12.0
250251007002,1.0,1.0,3.0,4.0,9.0
250251007003,5.0,5.0,3.0,4.0,17.0
250251007004,3.0,1.0,3.0,2.0,9.0
250251007005,5.0,4.0,5.0,5.0,19.0
250251008001,5.0,,3.0,5.0,
