tract,NAME,pop14,white14,income14,rent14,state,county,GEOID
000301,"Census Tract 3.01, Suffolk County, Massachusetts",2437,2251,78250,1679,25,025,25025000301
000802,"Census Tract 8.02, Suffolk County, Massachusetts",7232,5580,31198,1663,25,025,25025000802
010600,"Census Tract 106, Suffolk County, Massachusetts",2823,2695,85726,2001,25,025,25025010600
040100,"Census Tract 401, Suffolk County, Massachusetts",2308,2161,124622,1943,25,025,25025040100
040300,"Census Tract 403, Suffolk County, Massachusetts",4181,4059,116830,1576,25,025,25025040300
050400,"Census Tract 504, Suffolk County, Massachusetts",2505,1053,53065,1225,25,025,25025050400
051000,"Census Tract 510, Suffolk County, Massachusetts",4655,2630,52170,1099,25,025,25025051000
010404,"Census Tract 104.04, Suffolk County, Massachusetts",5745,5237,20172,1658,25,025,25025010404
010405,"Census Tract 104.05, Suffolk County, Massachusetts",5814,5284,13488,915,25,025,25025010405
010203,"Census Tract 102.03, Suffolk County, Massachusetts",4751,4135,32228,1691,25,025,25025010203
010408,"Census Tract 104.08, Suffolk County, Massachusetts",1507,1419,65000,1690,25,025,25025010408
010701,"Census Tract 107.01, Suffolk County, Massachusetts",2954,2784,99307,1983,25,025,25025010701
010403,"Census Tract 104.03, Suffolk County, Massachusetts",2927,2552,17009,1372,25,025,25025010403
010702,"Census Tract 107.02, Suffolk County, Massachusetts",2433,2289,111923,1989,25,025,25025010702
010801,"Census Tract 108.01, Suffolk County, Massachusetts",3259,3109,125417,1762,25,025,25025010801
010802,"Census Tract 108.02, Suffolk County, Massachusetts",2978,2794,102773,1890,25,025,25025010802
020101,"Census Tract 201.01, Suffolk County, Massachusetts",4121,4103,99456,1698,25,025,25025020101
060400,"Census Tract 604, Suffolk County, Massachusetts",5173,5033,95085,1518,25,025,25025060400
060700,"Census Tract 607, Suffolk County, Massachusetts",2281,1490,16964,444,25,025,25025060700
081500,"Census Tract 815, Suffolk County, Massachusetts",2195,1618,32524,1102,25,025,25025081500
090600,"Census Tract 906, Suffolk County, Massachusetts",2099,1778,40250,1130,25,025,25025090600
091500,"Census Tract 915, Suffolk County, Massachusetts",4616,3892,44536,1170,25,025,25025091500
170200,"Census Tract 1702, Suffolk County, Massachusetts",4547,3569,48892,809,25,025,25025170200
170800,"Census Tract 1708, Suffolk County, Massachusetts",5130,3473,50139,1141,25,025,25025170800
120600,"Census Tract 1206, Suffolk County, Massachusetts",2604,2366,100599,1736,25,025,25025120600
130100,"Census Tract 1301, Suffolk County, Massachusetts",6046,5856,80923,1678,25,025,25025130100
140202,"Census Tract 1402.02, Suffolk County, Massachusetts",6110,4486,71570,991,25,025,25025140202
160300,"Census Tract 1603, Suffolk County, Massachusetts",2355,1888,61124,1338,25,025,25025160300
170100,"Census Tract 1701, Suffolk County, Massachusetts",8041,5787,51075,1169,25,025,25025170100
170300,"Census Tract 1703, Suffolk County, Massachusetts",9096,8047,58945,1478,25,025,25025170300
180200,"Census Tract 1802, Suffolk County, Massachusetts",3948,3706,60081,1138,25,025,25025180200
110501,"Census Tract 1105.01, Suffolk County, Massachusetts",3599,3024,84020,1484,25,025,25025110501
180500,"Census Tract 1805, Suffolk County, Massachusetts",3966,3710,60645,1421,25,025,25025180500
092200,"Census Tract 922, Suffolk County, Massachusetts",3153,2675,66198,1298,25,025,25025092200
091300,"Census Tract 913, Suffolk County, Massachusetts",2583,1976,34922,1167,25,025,25025091300
091700,"Census Tract 917, Suffolk County, Massachusetts",3797,2879,47571,1351,25,025,25025091700
100800,"Census Tract 1008, Suffolk County, Massachusetts",6380,6367,65762,1294,25,025,25025100800
000401,"Census Tract 4.01, Suffolk County, Massachusetts",5074,4570,37819,1291,25,025,25025000401
091400,"Census Tract 914, Suffolk County, Massachusetts",2608,1760,33242,954,25,025,25025091400
020301,"Census Tract 203.01, Suffolk County, Massachusetts",2609,2579,106630,2001,25,025,25025020301
020302,"Census Tract 203.02, Suffolk County, Massachusetts",1068,1044,81680,1814,25,025,25025020302
010300,"Census Tract 103, Suffolk County, Massachusetts",5202,4781,33359,1256,25,025,25025010300
050700,"Census Tract 507, Suffolk County, Massachusetts",4939,1435,55125,1206,25,025,25025050700
080300,"Census Tract 803, Suffolk County, Massachusetts",2049,1438,22332,950,25,025,25025080300
080500,"Census Tract 805, Suffolk County, Massachusetts",3073,1475,19311,565,25,025,25025080500
081100,"Census Tract 811, Suffolk County, Massachusetts",4555,3979,53497,1606,25,025,25025081100
091600,"Census Tract 916, Suffolk County, Massachusetts",3353,2767,38342,1219,25,025,25025091600
100500,"Census Tract 1005, Suffolk County, Massachusetts",6585,5679,49510,1214,25,025,25025100500
100900,"Census Tract 1009, Suffolk County, Massachusetts",4172,3711,53517,1361,25,025,25025100900
110401,"Census Tract 1104.01, Suffolk County, Massachusetts",4016,2744,60095,1151,25,025,25025110401
091800,"Census Tract 918, Suffolk County, Massachusetts",3814,2924,40000,1101,25,025,25025091800
092000,"Census Tract 920, Suffolk County, Massachusetts",5502,4003,44028,1300,25,025,25025092000
100100,"Census Tract 1001, Suffolk County, Massachusetts",6371,4724,28671,538,25,025,25025100100
160502,"Census Tract 1605.02, Suffolk County, Massachusetts",4558,1931,57344,1097,25,025,25025160502
160101,"Census Tract 1601.01, Suffolk County, Massachusetts",9391,2006,53485,1248,25,025,25025160101
160501,"Census Tract 1605.01, Suffolk County, Massachusetts",5064,1325,35308,1073,25,025,25025160501
160601,"Census Tract 1606.01, Suffolk County, Massachusetts",4271,2639,48324,1363,25,025,25025160601
160602,"Census Tract 1606.02, Suffolk County, Massachusetts",4481,2421,50829,1105,25,025,25025160602
170501,"Census Tract 1705.01, Suffolk County, Massachusetts",3570,2709,47604,1172,25,025,25025170501
140105,"Census Tract 1401.05, Suffolk County, Massachusetts",4091,2924,65375,1364,25,025,25025140105
170502,"Census Tract 1705.02, Suffolk County, Massachusetts",3061,2731,55217,1004,25,025,25025170502
170601,"Census Tract 1706.01, Suffolk County, Massachusetts",5805,3907,56136,1215,25,025,25025170601
170701,"Census Tract 1707.01, Suffolk County, Massachusetts",2115,1619,41023,1085,25,025,25025170701
170702,"Census Tract 1707.02, Suffolk County, Massachusetts",6396,3423,42500,1104,25,025,25025170702
180101,"Census Tract 1801.01, Suffolk County, Massachusetts",4859,3996,58620,1127,25,025,25025180101
180301,"Census Tract 1803.01, Suffolk County, Massachusetts",3275,3204,91625,1585,25,025,25025180301
980101,"Census Tract 9801.01, Suffolk County, Massachusetts",335,294,-666666666,-666666666,25,025,25025980101
980300,"Census Tract 9803, Suffolk County, Massachusetts",360,296,-666666666,-666666666,25,025,25025980300
980700,"Census Tract 9807, Suffolk County, Massachusetts",10,10,-666666666,-666666666,25,025,25025980700
020200,"Census Tract 202, Suffolk County, Massachusetts",3908,3606,75197,1772,25,025,25025020200
030300,"Census Tract 303, Suffolk County, Massachusetts",5451,5051,100278,2001,25,025,25025030300
061000,"Census Tract 610, Suffolk County, Massachusetts",3235,2366,27292,520,25,025,25025061000
061200,"Census Tract 612, Suffolk County, Massachusetts",3457,3341,82244,1946,25,025,25025061200
090100,"Census Tract 901, Suffolk County, Massachusetts",5132,4004,31778,940,25,025,25025090100
