tract,NAME,pop19,white19,income19,rent19,state,county,GEOID
091900,"Census Tract 919, Suffolk County, Massachusetts",4528,3103,54375,1458,25,025,25025091900
100200,"Census Tract 1002, Suffolk County, Massachusetts",3328,2787,53269,1728,25,025,25025100200
101002,"Census Tract 1010.02, Suffolk County, Massachusetts",6662,5755,49947,1261,25,025,25025101002
110502,"Census Tract 1105.02, Suffolk County, Massachusetts",4740,3250,98977,1712,25,025,25025110502
110601,"Census Tract 1106.01, Suffolk County, Massachusetts",2997,2681,107012,1161,25,025,25025110601
130402,"Census Tract 1304.02, Suffolk County, Massachusetts",4762,4275,73039,-666666666,25,025,25025130402
140400,"Census Tract 1404, Suffolk County, Massachusetts",9056,7076,62743,1421,25,025,25025140400
000201,"Census Tract 2.01, Suffolk County, Massachusetts",4125,3809,93583,2204,25,025,25025000201
000100,"Census Tract 1, Suffolk County, Massachusetts",5884,5164,90980,1882,25,025,25025000100
000202,"Census Tract 2.02, Suffolk County, Massachusetts",4461,3254,79783,1810,25,025,25025000202
000301,"Census Tract 3.01, Suffolk County, Massachusetts",3074,2657,126845,2351,25,025,25025000301
000502,"Census Tract 5.02, Suffolk County, Massachusetts",5540,4957,65455,1708,25,025,25025000502
010300,"Census Tract 103, Suffolk County, Massachusetts",5351,4962,43313,1856,25,025,25025010300
050700,"Census Tract 507, Suffolk County, Massachusetts",5607,1667,68384,1775,25,025,25025050700
080300,"Census Tract 803, Suffolk County, Massachusetts",2205,1647,42617,970,25,025,25025080300
080500,"Census Tract 805, Suffolk County, Massachusetts",3600,2074,30047,556,25,025,25025080500
081100,"Census Tract 811, Suffolk County, Massachusetts",4116,3573,57687,1643,25,025,25025081100
091600,"Census Tract 916, Suffolk County, Massachusetts",3089,2573,47317,1378,25,025,25025091600
100500,"Census Tract 1005, Suffolk County, Massachusetts",6623,5454,59913,1524,25,025,25025100500
100900,"Census Tract 1009, Suffolk County, Massachusetts",4684,4175,86716,1673,25,025,25025100900
110401,"Census Tract 1104.01, Suffolk County, Massachusetts",3807,2546,64494,1601,25,025,25025110401
091800,"Census Tract 918, Suffolk County, Massachusetts",3579,2748,33784,1381,25,025,25025091800
092000,"Census Tract 920, Suffolk County, Massachusetts",5590,4411,57214,1438,25,025,25025092000
100100,"Census Tract 1001, Suffolk County, Massachusetts",7013,5237,28659,1134,25,025,25025100100
100601,"Census Tract 1006.01, Suffolk County, Massachusetts",6321,5694,76593,1631,25,025,25025100601
100700,"Census Tract 1007, Suffolk County, Massachusetts",4410,4379,96250,1169,25,025,25025100700
101102,"Census Tract 1011.02, Suffolk County, Massachusetts",5265,4445,46080,1712,25,025,25025101102
130200,"Census Tract 1302, Suffolk County, Massachusetts",5026,4801,111808,1761,25,025,25025130200
060600,"Census Tract 606, Suffolk County, Massachusetts",4162,4043,155379,3110,25,025,25025060600
070900,"Census Tract 709, Suffolk County, Massachusetts",3132,2532,53000,1171,25,025,25025070900
092400,"Census Tract 924, Suffolk County, Massachusetts",6413,4105,33591,911,25,025,25025092400
030100,"Census Tract 301, Suffolk County, Massachusetts",2243,2033,102426,1816,25,025,25025030100
000602,"Census Tract 6.02, Suffolk County, Massachusetts",4158,3329,40781,1502,25,025,25025000602
082100,"Census Tract 821, Suffolk County, Massachusetts",5998,4141,25125,589,25,025,25025082100
060200,"Census Tract 602, Suffolk County, Massachusetts",2103,2054,140592,2447,25,025,25025060200
090400,"Census Tract 904, Suffolk County, Massachusetts",4396,2566,38750,913,25,025,25025090400
120500,"Census Tract 1205, Suffolk County, Massachusetts",2850,1654,84850,1554,25,025,25025120500
101001,"Census Tract 1010.01, Suffolk County, Massachusetts",6014,5155,64185,1402,25,025,25025101001
